Table 80,,,,
Full-time Law Enforcement Employees ,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2014",,,,
State,County,police,"Total
officers","Total
civilians"
,Rio Blanco,29,21,8
,Rio Grande,32,28,4
,Saguache,20,8,12
,San Juan,4,3,1
,Summit,55,47,8
,Washington,38,29,9
,Yuma,21,20,1
DELAWARE-Metropolitan Counties,New Castle County Police Department,465,346,119
FLORIDA-Metropolitan Counties,Alachua,568,342,226
,Baker,149,42,107
,Bay,275,210,65
,Broward,"2,987","1,518","1,469"
,Charlotte,399,281,118
,Clay,536,259,277
,Collier,870,560,310
,Escambia,641,389,252
,Flagler,231,176,55
,Gadsden,89,45,44
,Gilchrist,43,29,14
,Highlands,308,131,177
,Hillsborough,"3,236","1,172","2,064"
,Indian River,448,198,250
,Lee,"1,086",714,372
,Manatee,"1,096",501,595
,Marion,710,520,190
,Martin,541,387,154
,Miami-Dade,"3,752","2,674","1,078"
,Nassau,231,146,85
,Okaloosa,351,261,90
,Orange,"1,929","1,341",588
,Osceola,595,386,209
,Palm Beach,"3,287","1,472","1,815"
,Pasco,"1,112",533,579
,Pinellas,"1,523",830,693
,Polk,"2,039",643,"1,396"
,Santa Rosa,378,187,191
,Sarasota,926,400,526
,Seminole,"1,173",427,746
,St. Johns,587,273,314
,St. Lucie,621,260,361
,Volusia,754,417,337
,Wakulla,81,50,31
,Walton,325,218,107
FLORIDA-Nonmetropolitan Counties,Calhoun,29,18,11
,Columbia,171,94,77
,DeSoto,117,56,61
,Dixie,73,25,48
,Franklin,76,36,40
,Hamilton,57,18,39
,Hardee,105,52,53
,Hendry,146,73,73
,Holmes,51,26,25
,Jackson,79,59,20
,Lafayette,30,11,19
,Levy,135,64,71
,Liberty,23,17,6
,Monroe,491,192,299
,Okeechobee,117,85,32
,Putnam,227,109,118
,Suwannee,106,61,45
,Taylor,73,30,43
,Union,19,14,5
GEORGIA-Metropolitan Counties,Bartow,228,214,14
,Brantley,46,20,26
,Brooks,46,21,25
,Bryan,76,44,32
,Burke,65,32,33
