code,ab,County,POVALL_2014
09005,CT,Litchfield County,"14,015"
09007,CT,Middlesex County,"12,636"
09009,CT,New Haven County,"108,729"
09011,CT,New London County,"28,868"
09013,CT,Tolland County,"10,253"
09015,CT,Windham County,"11,570"
10000,DE,Delaware,"118,032"
10001,DE,Kent County,"23,484"
10003,DE,New Castle County,"65,642"
10005,DE,Sussex County,"28,907"
11000,DC,District of Columbia,"114,790"
11001,DC,District of Columbia,"114,790"
12000,FL,Florida,"3,231,142"
12001,FL,Alachua County,"52,756"
12003,FL,Baker County,"4,826"
12005,FL,Bay County,"27,165"
12007,FL,Bradford County,"5,287"
12009,FL,Brevard County,"79,657"
12011,FL,Broward County,"268,418"
12013,FL,Calhoun County,"2,800"
12015,FL,Charlotte County,"19,704"
12017,FL,Citrus County,"27,449"
12019,FL,Clay County,"21,658"
12021,FL,Collier County,"49,211"
12023,FL,Columbia County,"13,604"
12027,FL,DeSoto County,"9,434"
12029,FL,Dixie County,"3,911"
12031,FL,Duval County,"159,748"
12033,FL,Escambia County,"44,320"
12035,FL,Flagler County,"11,775"
12037,FL,Franklin County,"2,507"
12039,FL,Gadsden County,"11,119"
12041,FL,Gilchrist County,"3,139"
12043,FL,Glades County,"2,559"
12045,FL,Gulf County,"2,836"
12047,FL,Hamilton County,"3,653"
12049,FL,Hardee County,"7,642"
12051,FL,Hendry County,"9,581"
12053,FL,Hernando County,"26,629"
12055,FL,Highlands County,"18,898"
12057,FL,Hillsborough County,"217,968"
12059,FL,Holmes County,"4,743"
12061,FL,Indian River County,"21,098"
12063,FL,Jackson County,"9,787"
12065,FL,Jefferson County,"2,285"
12067,FL,Lafayette County,"1,791"
12069,FL,Lake County,"42,954"
12071,FL,Lee County,"107,493"
12073,FL,Leon County,"62,734"
12075,FL,Levy County,"8,323"
12077,FL,Liberty County,"1,544"
12079,FL,Madison County,"4,567"
12081,FL,Manatee County,"49,017"
12083,FL,Marion County,"58,576"
12085,FL,Martin County,"18,091"
12086,FL,Miami-Dade County,"535,148"
12087,FL,Monroe County,"10,626"
12089,FL,Nassau County,"8,859"
12091,FL,Okaloosa County,"23,680"
12093,FL,Okeechobee County,"9,472"
12095,FL,Orange County,"222,654"
12097,FL,Osceola County,"59,222"
12099,FL,Palm Beach County,"204,862"
12101,FL,Pasco County,"70,125"
12103,FL,Pinellas County,"139,881"
12105,FL,Polk County,"112,539"
12107,FL,Putnam County,"20,167"
12109,FL,St. Johns County,"17,572"
12111,FL,St. Lucie County,"49,752"
12113,FL,Santa Rosa County,"17,564"
12115,FL,Sarasota County,"42,343"
12117,FL,Seminole County,"51,782"
12119,FL,Sumter County,"11,528"
12121,FL,Suwannee County,"9,559"
12123,FL,Taylor County,"4,475"
12125,FL,Union County,"2,515"
12127,FL,Volusia County,"87,670"
12129,FL,Wakulla County,"4,185"
12131,FL,Walton County,"9,357"
12133,FL,Washington County,"4,348"
13000,GA,Georgia,"1,802,783"
13001,GA,Appling County,"4,495"
13003,GA,Atkinson County,"2,163"
13005,GA,Bacon County,"2,837"
13007,GA,Baker County,886
13009,GA,Baldwin County,"11,809"
13011,GA,Banks County,"3,077"
13013,GA,Barrow County,"9,440"
13015,GA,Bartow County,"14,398"
13017,GA,Ben Hill County,"4,881"
13019,GA,Berrien County,"4,923"
13021,GA,Bibb County,"41,742"
13023,GA,Bleckley County,"2,668"
13025,GA,Brantley County,"3,973"
13027,GA,Brooks County,"4,410"
13029,GA,Bryan County,"4,012"
13031,GA,Bulloch County,"20,890"
13033,GA,Burke County,"6,968"
13035,GA,Butts County,"4,474"
13037,GA,Calhoun County,"1,838"
13039,GA,Camden County,"5,980"
13043,GA,Candler County,"3,069"
13045,GA,Carroll County,"24,983"
13047,GA,Catoosa County,"8,217"
13049,GA,Charlton County,"2,946"
13051,GA,Chatham County,"48,234"
13053,GA,Chattahoochee County,"1,606"
13055,GA,Chattooga County,"4,944"
13057,GA,Cherokee County,"21,331"
13059,GA,Clarke County,"41,889"
13061,GA,Clay County,"1,132"
13063,GA,Clayton County,"60,123"
13065,GA,Clinch County,"1,919"
13067,GA,Cobb County,"93,604"
13069,GA,Coffee County,"11,140"
13071,GA,Colquitt County,"11,982"
13073,GA,Columbia County,"13,098"
13075,GA,Cook County,"4,438"
13077,GA,Coweta County,"16,804"
13079,GA,Crawford County,"2,437"
13081,GA,Crisp County,"7,327"
13083,GA,Dade County,"2,519"
13085,GA,Dawson County,"2,671"
13087,GA,Decatur County,"7,244"
13089,GA,DeKalb County,"144,818"
13091,GA,Dodge County,"4,952"
13093,GA,Dooly County,"3,731"
13095,GA,Dougherty County,"28,119"
13097,GA,Douglas County,"19,423"
13099,GA,Early County,"3,089"
13101,GA,Echols County,"1,078"
13103,GA,Effingham County,"6,031"
13105,GA,Elbert County,"4,101"
13107,GA,Emanuel County,"7,134"
13109,GA,Evans County,"2,792"
13111,GA,Fannin County,"4,612"
13113,GA,Fayette County,"7,479"
13115,GA,Floyd County,"19,408"
13117,GA,Forsyth County,"12,863"
13119,GA,Franklin County,"5,227"
13121,GA,Fulton County,"168,027"
13123,GA,Gilmer County,"5,623"
13125,GA,Glascock County,574
13127,GA,Glynn County,"15,666"
13129,GA,Gordon County,"9,800"
13131,GA,Grady County,"6,583"
13133,GA,Greene County,"3,984"
13135,GA,Gwinnett County,"116,888"
13137,GA,Habersham County,"6,320"
13139,GA,Hall County,"31,582"
13141,GA,Hancock County,"2,585"
13143,GA,Haralson County,"5,300"
13145,GA,Harris County,"3,071"
13147,GA,Hart County,"5,284"
13149,GA,Heard County,"2,174"
13151,GA,Henry County,"29,088"
13153,GA,Houston County,"25,310"
13155,GA,Irwin County,"2,133"
13157,GA,Jackson County,"8,283"
13159,GA,Jasper County,"2,424"
13161,GA,Jeff Davis County,"3,635"
13163,GA,Jefferson County,"4,154"
13165,GA,Jenkins County,"2,727"
13167,GA,Johnson County,"2,418"
13169,GA,Jones County,"4,119"
13171,GA,Lamar County,"3,605"
13173,GA,Lanier County,"2,417"
13175,GA,Laurens County,"11,903"
13177,GA,Lee County,"3,331"
13179,GA,Liberty County,"10,742"
13181,GA,Lincoln County,"1,354"
13183,GA,Long County,"3,666"
13185,GA,Lowndes County,"26,225"
13187,GA,Lumpkin County,"5,297"
13189,GA,McDuffie County,"5,817"
13191,GA,McIntosh County,"3,290"
13193,GA,Macon County,"4,054"
13195,GA,Madison County,"5,534"
13197,GA,Marion County,"2,255"
13199,GA,Meriwether County,"4,931"
13201,GA,Miller County,"1,460"
13205,GA,Mitchell County,"6,693"
13207,GA,Monroe County,"3,815"
13209,GA,Montgomery County,"1,860"
13211,GA,Morgan County,"2,673"
13213,GA,Murray County,"7,283"
13215,GA,Muscogee County,"42,237"
13217,GA,Newton County,"19,738"
13219,GA,Oconee County,"2,755"
13221,GA,Oglethorpe County,"2,291"
13223,GA,Paulding County,"15,777"
13225,GA,Peach County,"5,589"
13227,GA,Pickens County,"3,655"
13229,GA,Pierce County,"3,540"
13231,GA,Pike County,"2,405"
13233,GA,Polk County,"8,351"
13235,GA,Pulaski County,"2,453"
13237,GA,Putnam County,"3,967"
13239,GA,Quitman County,682
13241,GA,Rabun County,"3,287"
13243,GA,Randolph County,"2,496"
13245,GA,Richmond County,"49,562"
13247,GA,Rockdale County,"14,983"
13249,GA,Schley County,"1,035"
13251,GA,Screven County,"3,584"
13253,GA,Seminole County,"2,258"
13255,GA,Spalding County,"17,205"
13257,GA,Stephens County,"5,184"
13259,GA,Stewart County,"1,664"
13261,GA,Sumter County,"9,996"
13263,GA,Talbot County,"1,513"
13265,GA,Taliaferro County,545
13267,GA,Tattnall County,"5,833"
13269,GA,Taylor County,"2,114"
13271,GA,Telfair County,"4,274"
13273,GA,Terrell County,"2,632"
13275,GA,Thomas County,"10,827"
13277,GA,Tift County,"11,178"
13279,GA,Toombs County,"6,586"
13281,GA,Towns County,"1,817"
13283,GA,Treutlen County,"1,752"
13285,GA,Troup County,"13,099"
13287,GA,Turner County,"2,472"
13289,GA,Twiggs County,"2,309"
13291,GA,Union County,"3,260"
13293,GA,Upson County,"6,661"
13295,GA,Walker County,"13,348"
13297,GA,Walton County,"13,499"
13299,GA,Ware County,"9,595"
13301,GA,Warren County,"1,573"
13303,GA,Washington County,"5,734"
13305,GA,Wayne County,"7,032"
13307,GA,Webster County,603
13309,GA,Wheeler County,"2,103"
13311,GA,White County,"4,606"
13313,GA,Whitfield County,"21,240"
13315,GA,Wilcox County,"2,113"
13317,GA,Wilkes County,"2,617"
13319,GA,Wilkinson County,"2,130"
13321,GA,Worth County,"4,692"
15000,HI,Hawaii,"158,266"
15001,HI,Hawaii County,"34,598"
15003,HI,Honolulu County,"93,994"
15005,HI,Kalawao County,
15007,HI,Kauai County,"8,570"
15009,HI,Maui County,"21,103"
16000,ID,Idaho,"237,604"
16001,ID,Ada County,"48,083"
16003,ID,Adams County,569
16005,ID,Bannock County,"14,116"
16007,ID,Bear Lake County,795
16009,ID,Benewah County,"1,418"
16011,ID,Bingham County,"6,720"
16013,ID,Blaine County,"2,262"
16015,ID,Boise County,"1,057"
16017,ID,Bonner County,"6,686"
16019,ID,Bonneville County,"16,643"
16021,ID,Boundary County,"1,817"
16023,ID,Butte County,385
16025,ID,Camas County,133
16027,ID,Canyon County,"35,950"
16029,ID,Caribou County,778
16031,ID,Cassia County,"3,615"
16033,ID,Clark County,150
16035,ID,Clearwater County,"1,308"
16037,ID,Custer County,645
16039,ID,Elmore County,"3,656"
16041,ID,Franklin County,"1,393"
16043,ID,Fremont County,"1,872"
16045,ID,Gem County,"2,645"
16047,ID,Gooding County,"2,560"
16049,ID,Idaho County,"2,565"
16051,ID,Jefferson County,"3,093"
16053,ID,Jerome County,"3,543"
16055,ID,Kootenai County,"18,765"
16057,ID,Latah County,"7,008"
16059,ID,Lemhi County,"1,392"
16061,ID,Lewis County,523
16063,ID,Lincoln County,742
16065,ID,Madison County,"10,050"
16067,ID,Minidoka County,"3,403"
16069,ID,Nez Perce County,"5,689"
16071,ID,Oneida County,573
16073,ID,Owyhee County,"2,645"
16075,ID,Payette County,"3,213"
16077,ID,Power County,"1,183"
16079,ID,Shoshone County,"2,310"
16081,ID,Teton County,"1,198"
16083,ID,Twin Falls County,"11,553"
16085,ID,Valley County,"1,142"
16087,ID,Washington County,"1,757"
17000,IL,Illinois,"1,802,337"
17001,IL,Adams County,"9,185"
17003,IL,Alexander County,"2,491"
17005,IL,Bond County,"2,463"
17007,IL,Boone County,"5,447"
17009,IL,Brown County,665
17011,IL,Bureau County,"4,369"
17013,IL,Calhoun County,587
17015,IL,Carroll County,"1,821"
17017,IL,Cass County,"1,702"
17019,IL,Champaign County,"43,210"
17021,IL,Christian County,"4,639"
17023,IL,Clark County,"2,213"
17025,IL,Clay County,"1,811"
17027,IL,Clinton County,"3,554"
17029,IL,Coles County,"11,228"
17031,IL,Cook County,"883,001"
17033,IL,Crawford County,"2,721"
17035,IL,Cumberland County,"1,298"
17037,IL,DeKalb County,"14,452"
17039,IL,De Witt County,"1,735"
17041,IL,Douglas County,"1,957"
17043,IL,DuPage County,"72,895"
17045,IL,Edgar County,"2,636"
17047,IL,Edwards County,756
17049,IL,Effingham County,"3,987"
17051,IL,Fayette County,"3,495"
17053,IL,Ford County,"1,604"
17055,IL,Franklin County,"7,684"
17057,IL,Fulton County,"5,453"
17059,IL,Gallatin County,917
17061,IL,Greene County,"2,118"
17063,IL,Grundy County,"4,261"
17065,IL,Hamilton County,"1,149"
17067,IL,Hancock County,"2,126"
17069,IL,Hardin County,847
17071,IL,Henderson County,802
17073,IL,Henry County,"5,501"
17075,IL,Iroquois County,"4,486"
17077,IL,Jackson County,"16,945"
17079,IL,Jasper County,"1,045"
17081,IL,Jefferson County,"7,046"
17083,IL,Jersey County,"2,505"
17085,IL,Jo Daviess County,"2,352"
17087,IL,Johnson County,"1,751"
17089,IL,Kane County,"55,787"
17091,IL,Kankakee County,"15,667"
17093,IL,Kendall County,"6,477"
17095,IL,Knox County,"9,289"
17097,IL,Lake County,"64,993"
17099,IL,La Salle County,"14,686"
17101,IL,Lawrence County,"2,521"
17103,IL,Lee County,"3,479"
17105,IL,Livingston County,"4,115"
17107,IL,Logan County,"3,178"
17109,IL,McDonough County,"6,549"
17111,IL,McHenry County,"20,905"
17113,IL,McLean County,"23,326"
17115,IL,Macon County,"17,003"
17117,IL,Macoupin County,"5,868"
17119,IL,Madison County,"34,436"
17121,IL,Marion County,"7,004"
17123,IL,Marshall County,"1,255"
17125,IL,Mason County,"2,014"
17127,IL,Massac County,"3,029"
17129,IL,Menard County,"1,245"
17131,IL,Mercer County,"1,511"
17133,IL,Monroe County,"1,710"
17135,IL,Montgomery County,"4,577"
17137,IL,Morgan County,"4,832"
17139,IL,Moultrie County,"1,705"
17141,IL,Ogle County,"5,856"
17143,IL,Peoria County,"30,408"
17145,IL,Perry County,"3,200"
17147,IL,Piatt County,"1,206"
17149,IL,Pike County,"2,338"
17151,IL,Pope County,799
17153,IL,Pulaski County,"1,332"
17155,IL,Putnam County,512
17157,IL,Randolph County,"3,949"
17159,IL,Richland County,"2,284"
17161,IL,Rock Island County,"23,015"
17163,IL,St. Clair County,"49,691"
17165,IL,Saline County,"4,983"
17167,IL,Sangamon County,"29,897"
17169,IL,Schuyler County,954
17171,IL,Scott County,614
17173,IL,Shelby County,"2,539"
17175,IL,Stark County,677
17177,IL,Stephenson County,"6,417"
17179,IL,Tazewell County,"12,112"
17181,IL,Union County,"3,079"
17183,IL,Vermilion County,"14,555"
17185,IL,Wabash County,"1,690"
17187,IL,Warren County,"2,261"
17189,IL,Washington County,"1,441"
17191,IL,Wayne County,"2,457"
17193,IL,White County,"1,963"
17195,IL,Whiteside County,"6,771"
17197,IL,Will County,"54,720"
17199,IL,Williamson County,"10,271"
17201,IL,Winnebago County,"47,864"
17203,IL,Woodford County,"2,411"
18000,IN,Indiana,"968,437"
18001,IN,Adams County,"5,273"
18003,IN,Allen County,"54,597"
18005,IN,Bartholomew County,"9,338"
18007,IN,Benton County,"1,102"
18009,IN,Blackford County,"1,821"
18011,IN,Boone County,"4,409"
18013,IN,Brown County,"1,908"
18015,IN,Carroll County,"2,137"
18017,IN,Cass County,"5,170"
18019,IN,Clark County,"11,945"
18021,IN,Clay County,"3,791"
18023,IN,Clinton County,"3,992"
18025,IN,Crawford County,"1,894"
18027,IN,Daviess County,"4,433"
18029,IN,Dearborn County,"5,688"
18031,IN,Decatur County,"3,404"
18033,IN,De Kalb County,"4,224"
18035,IN,Delaware County,"23,985"
18037,IN,Dubois County,"3,312"
18039,IN,Elkhart County,"27,469"
18041,IN,Fayette County,"3,765"
18043,IN,Floyd County,"8,644"
18045,IN,Fountain County,"2,393"
18047,IN,Franklin County,"2,522"
18049,IN,Fulton County,"2,631"
18051,IN,Gibson County,"3,871"
18053,IN,Grant County,"12,684"
18055,IN,Greene County,"4,989"
18057,IN,Hamilton County,"14,813"
18059,IN,Hancock County,"4,907"
18061,IN,Harrison County,"3,858"
18063,IN,Hendricks County,"9,634"
18065,IN,Henry County,"7,012"
18067,IN,Howard County,"13,655"
18069,IN,Huntington County,"3,768"
18071,IN,Jackson County,"6,379"
18073,IN,Jasper County,"3,340"
18075,IN,Jay County,"4,154"
18077,IN,Jefferson County,"4,913"
18079,IN,Jennings County,"4,814"
18081,IN,Johnson County,"14,711"
18083,IN,Knox County,"6,141"
18085,IN,Kosciusko County,"9,235"
18087,IN,Lagrange County,"4,146"
18089,IN,Lake County,"85,233"
18091,IN,La Porte County,"18,671"
18093,IN,Lawrence County,"5,622"
18095,IN,Madison County,"20,564"
18097,IN,Marion County,"194,803"
18099,IN,Marshall County,"5,041"
18101,IN,Martin County,"1,351"
18103,IN,Miami County,"5,543"
18105,IN,Monroe County,"30,812"
18107,IN,Montgomery County,"4,544"
18109,IN,Morgan County,"7,917"
18111,IN,Newton County,"1,607"
18113,IN,Noble County,"5,159"
18115,IN,Ohio County,659
18117,IN,Orange County,"3,463"
18119,IN,Owen County,"3,180"
18121,IN,Parke County,"2,719"
18123,IN,Perry County,"2,754"
18125,IN,Pike County,"1,393"
18127,IN,Porter County,"16,369"
18129,IN,Posey County,"2,703"
18131,IN,Pulaski County,"1,806"
18133,IN,Putnam County,"4,341"
